,x-value62,MH62_in_shelter,MH62_doorway,MH62_with_pellet,MH62_eat_pellet,MH62_freeze,MH62_reaching,MH62_scanning,MH62_new_pellet
0,66.96413000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,67.00398,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,67.06695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,67.09345,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,67.12988,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,67.1956,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,67.05255,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,66.80474,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,66.5996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,66.57455,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,66.48079,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,66.50353,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,66.55025,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,66.74898,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,66.91792,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,67.22377,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,67.38071,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,67.41538,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,67.20936,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,67.13779,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,67.11625,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,66.99946,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,66.96791999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,67.02667,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,67.35736999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,67.53485,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,67.52794,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,67.52794,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,67.42976,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,67.40511,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,67.37268,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,67.48818,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,67.46972,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,67.52757,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,67.55125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,67.51405,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,67.51584,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,67.52592,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,67.53641,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,67.52665999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,67.51005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,67.28532,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,67.26689,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,67.09645,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,67.08006999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,66.9016,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,66.82663000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,66.9485,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,67.08574,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,67.19228000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,67.44162,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,67.50184,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,67.54919,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,67.49954,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,67.44534,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,67.40979,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,67.2342,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,67.20245,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,67.11414,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,67.03225,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,67.08547,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,67.13877,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,67.1118,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,67.04599,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,67.00954,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,66.84241,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,66.76651,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,66.73243000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,66.72577,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,66.69436999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,66.73351,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,66.78545,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,66.81517,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,66.8678,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,66.84809,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,66.88762,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,66.92208000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,66.91058000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,66.90173,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,66.87669,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,66.8028,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,66.7812,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,66.76831,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,66.64329000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,66.71659,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,66.72495,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,66.74376,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,66.75719000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,66.77486,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,66.75758,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,66.68703000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,66.68705,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,66.54769,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,66.4479,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,66.10473,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,65.82964,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,65.59413,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,65.31541,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,65.25113,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,65.22994,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,65.26218,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,65.19986999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,65.22289,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,64.93137,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,64.97601,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105,64.62389,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,64.34829,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,64.03895,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108,63.80444,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,63.56896999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,63.55956,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,63.49462,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,63.456759999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,63.25218,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,63.2361,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,63.2415,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,63.2335,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
