,x-value64,MH64_in_shelter,MH64_doorway,MH64_with_pellet,MH64_eat_pellet,MH64_freeze,MH64_reaching,MH64_scanning,MH64_new_pellet
0,81.40585,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,81.48033000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,81.71439000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,77.65436,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,77.31172,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,77.36835,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,77.46638,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,77.61429,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,77.67278,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,77.90778,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,77.8926,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,77.91633,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,77.82355,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,77.84509,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,78.04018,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,77.98268,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,78.11310999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,78.26086,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,78.26055,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,78.31119,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,78.21393,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,78.22828,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,78.19649,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,78.06224,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,78.03482,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,78.00695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,77.87888000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,77.85786999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,77.87637,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,77.88566999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,77.9543,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,77.95644,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,77.95229,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,77.95193,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,78.06593000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,78.06726,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,78.0219,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,78.03879,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,78.04389,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,78.00686999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,77.96642,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,78.01057,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,78.10426,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
