,x-value72,MH72_in_shelter,MH72_doorway,MH72_with_pellet,MH72_eat_pellet,MH72_freeze,MH72_reaching,MH72_scanning,MH72_new_pellet
0,64.83254000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,64.73241999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,64.59949,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,64.44377,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,64.26358,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,64.18643,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,64.17525,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,64.21674,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,64.13125,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,63.96259000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,63.80355,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,63.73701,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,63.78199,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,63.85337,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,63.88218000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,63.878409999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,63.957809999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,64.07028000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,64.10258,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,64.17636999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,64.34239000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,64.67584000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,65.07946,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,65.28041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,65.53735,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,65.87379,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,66.05936,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,65.99983,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,65.95643000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,66.04679,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,65.73208000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,65.62138,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,65.48051,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,65.1879,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,64.75895,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,64.67834,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,64.74495,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,64.77646999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,64.80776,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,64.87340999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,65.14123000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,65.50632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,65.79398,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,66.04047,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,66.40607,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,66.86143,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,67.23825,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,67.61334000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,67.87756999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,68.19566,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,68.27892,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,68.28526,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,68.35862,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,68.44038,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,68.56824,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,68.61058,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,68.65111,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,68.62895,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,68.55886,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,68.56886,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,68.63511,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,68.75721999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,68.85831,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,68.84647,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,68.82509,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,68.55402,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,68.08444,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,67.68825,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,67.71749,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,67.90695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,67.98074,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
71,67.85693,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
72,67.31345,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
73,66.90697,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
74,66.69281,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75,66.80985,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76,66.96911999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
77,67.21021,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
78,67.38886,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,67.16038,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,66.83868000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
81,66.68228,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
82,66.57854,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,66.34325,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,65.83436,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,65.31704,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
86,64.77022,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
87,64.55988,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,64.50107,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89,64.50309,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,64.6647,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
91,64.7922,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,64.9512,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
93,64.93613,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
94,65.07928000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
95,65.18677,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
96,65.32178,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
97,65.77028,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,66.23301,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
99,66.46634,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
100,66.64536,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
101,66.85249,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
102,66.81725,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,66.83868000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,66.81607,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
105,66.91411,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
106,67.03626,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
107,67.14979,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
108,67.265,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
109,67.334,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,67.35712,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
111,67.35695,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
112,67.38746,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
113,67.48785,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,67.6284,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
115,67.81138,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
116,68.02234,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
117,68.12704000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
118,68.15533,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
119,68.28963,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
120,68.4131,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
121,68.55166,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
122,68.7962,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
123,69.01884,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
124,69.27938,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
125,69.48209,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
126,69.68082,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
127,69.82399000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
128,69.94156,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
129,70.09239000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
130,70.3313,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
131,70.48918,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132,70.5495,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
133,70.62393,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
134,70.59235,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
135,70.56153,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
136,70.55933,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
137,70.55412,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
138,70.47833,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
