,x-value78,MH78_in_shelter,MH78_doorway,MH78_with_pellet,MH78_eat_pellet,MH78_freeze,MH78_reaching,MH78_scanning,MH78_new_pellet
0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,52.511669999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,52.64246,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,52.704840000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,52.77914000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,52.82581,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,52.81321,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,52.75948,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,52.67869,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,52.51027,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,52.44345,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,52.443999999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,52.4519,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,52.44498000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,52.370509999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,52.417759999999994,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,52.41103,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,52.11282,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
