,x-value48,MH48_in_shelter,MH48_doorway,MH48_with_pellet,MH48_eat_pellet,MH48_freeze,MH48_reaching,MH48_scanning,MH48_new_pellet
0,47.7445,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,47.72266,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,47.48265,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,47.513690000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,47.55086,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,47.55086,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,47.55086,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,47.394690000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,47.47481,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,47.47759,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,47.54678,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,47.54678,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,47.972120000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,47.972120000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,47.95556,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,47.95556,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,48.196999999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,48.21287,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,47.97136,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,47.989959999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,47.94585,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,47.98721,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,48.03419,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,48.03419,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,47.915279999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,47.90034,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,48.52165,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,48.52165,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,48.55611,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,48.90696,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,49.06109,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,49.06986,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,49.06326,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,49.10117,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,49.10117,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,49.08224000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,49.15209,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,48.90732,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,48.86128,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,48.85592000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,48.87356,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,48.88752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,48.88752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,48.88752,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,48.96216,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,48.96216,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,48.9729,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,48.9729,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,49.28456,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,49.28456,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50,49.29865,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51,49.29865,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52,49.29865,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53,49.29865,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54,49.29865,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,49.42973,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56,49.42973,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57,49.42973,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58,49.67477,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59,49.711909999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60,49.92839,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61,49.92839,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62,49.84732,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63,49.84732,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,49.84732,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65,49.77468,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66,49.640570000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67,50.27549000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68,50.34845,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69,50.29005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70,50.47755,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
